character, baseHP, baseATK, baseDEF, stat, statvalue

Traveler, baseHP, baseATK, baseDEF, ATK%, statvalue

Amber, 9461, 223, 601, ATK%, 0.24

Kaeya, baseHP, baseATK, baseDEF, ER%, statvalue

Lisa, baseHP, baseATK, baseDEF, EM, statvalue

Barbara, baseHP, baseATK, baseDEF, HP%, statvalue

Razor, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Xiangling, baseHP, baseATK, baseDEF, EM, statvalue

Beidou, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Xingqiu, baseHP, baseATK, baseDEF, ATK%, statvalue

Ningguang, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Fischl, baseHP, baseATK, baseDEF, ATK%, statvalue

Bennett, baseHP, baseATK, baseDEF, ER%, statvalue

Noelle, baseHP, baseATK, baseDEF, DEF, statvalue

Chongyun, baseHP, baseATK, baseDEF, ATK%, statvalue

Sucrose, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Jean, baseHP, baseATK, baseDEF, HB, statvalue

Diluc, baseHP, baseATK, baseDEF, CR%, statvalue

Qiqi, baseHP, baseATK, baseDEF, HB, statvalue

Mona, baseHP, baseATK, baseDEF, ER%, statvalue

Keqing, baseHP, baseATK, baseDEF, CD%, statvalue

Venti, baseHP, baseATK, baseDEF, ER%, statvalue

Klee, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Diona, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Tartaglia, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Xinyan, baseHP, baseATK, baseDEF, ATK%, statvalue

Zhongli, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Albedo, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Ganyu, baseHP, baseATK, baseDEF, CD%, statvalue

Xiao, baseHP, baseATK, baseDEF, CR%, statvalue

Hu Tao, baseHP, baseATK, baseDEF, CD%, statvalue

Rosaria, baseHP, baseATK, baseDEF, ATK%, statvalue

Yanfei, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Eula, baseHP, baseATK, baseDEF, CD%, statvalue

Kazuha, baseHP, baseATK, baseDEF, EM, statvalue

Ayaka, 12858, 342, 784, CD%, 0.38

Sayu, baseHP, baseATK, baseDEF, EM, statvalue

Yoimiya, baseHP, baseATK, baseDEF, CR%, statvalue

Aloy, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Sara, baseHP, baseATK, baseDEF, ATK%, statvalue

Raiden, baseHP, baseATK, baseDEF, ER%, statvalue

Kokomi, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Thoma, baseHP, baseATK, baseDEF, ATK%, statvalue

Gorou, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Itto, baseHP, baseATK, baseDEF, CR%, statvalue

Yun Jin, baseHP, baseATK, baseDEF, ER%, statvalue

Shenhe, baseHP, baseATK, baseDEF, ATK%, statvalue

Yae, baseHP, baseATK, baseDEF, CR%, statvalue

Ayato, baseHP, baseATK, baseDEF, CD%, statvalue

Yelan, baseHP, baseATK, baseDEF, CR%, statvalue

Kuki, baseHP, baseATK, baseDEF, HP%, statvalue

Heizou, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Collei, baseHP, baseATK, baseDEF, ATK%, statvalue

Tighnari, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Dori, baseHP, baseATK, baseDEF, HP%, statvalue

Candace, baseHP, baseATK, baseDEF, HP%, statvalue

Cyno, baseHP, baseATK, baseDEF, CD%, statvalue

Nilou, baseHP, baseATK, baseDEF, HP%, statvalue

Nahida, baseHP, baseATK, baseDEF, EM, statvalue

Layla, baseHP, baseATK, baseDEF, HP%, statvalue

Faruzan, baseHP, baseATK, baseDEF, ATK%, statvalue

Wanderer, baseHP, baseATK, baseDEF, CR%, statvalue

Yaoyao, baseHP, baseATK, baseDEF, HP%, statvalue

Alhaitham, baseHP, baseATK, baseDEF, Elemental DMG%, statvalue

Dehya, baseHP, baseATK, baseDEF, HP%, statvalue

Mika, baseHP, baseATK, baseDEF, HP%, statvalue

Kaveh, baseHP, baseATK, baseDEF, EM, statvalue

Baizhu, baseHP, baseATK, baseDEF, HP%, statvalue

Kirara, baseHP, baseATK, baseDEF, HP%, statvalue
